,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
19,Please Give,2010,R,87,Comedy,Nicole Holofcener,Nicole Holofcener,"Rebecca Hall, Elizabeth Keener, Elise Ivy, Catherine Keener","In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",English,USA,Other Win,78.0,6.6,10740,1,4033268.0,Sony Pictures Classics,43.0,big,1
20,The Company Men,2010,R,104,Drama,John Wells,John Wells,"Ben Affleck, Tommy Lee Jones, Chris Cooper, Suzanne Rico","The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",English,USA,Other Win,69.0,6.7,41878,1,4439063.0,The Weinstein Company,42.0,big,1
21,Extraordinary Measures,2010,PG,106,Drama,Tom Vaughan,"Robert Nelson Jacobs, Geeta Anand (book)","Brendan Fraser, Harrison Ford, Keri Russell, Meredith Droeger",A drama centered on the efforts of John and Aileen Crowley to find a researcher who might have a cure for their two children's rare genetic disorder.,English,USA,Other Win,45.0,6.4,15854,1,11854694.0,CBS Films,17.0,small,0
22,Hesher,2010,R,106,Comedy,Spencer Susser,"Spencer Susser, David Michôd, Brian Charles Frank (story)","Joseph Gordon-Levitt, Devin Brochu, Rainn Wilson, Piper Laurie",A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,English,USA,Other Win,45.0,7.0,49249,1,300000.0,Newmarket Films,1.0,small,0
24,Douchebag,2010,Not Rated,81,Comedy,Drake Doremus,"Andrew Dickler, Drake Doremus, Jonathan Schwartz, Lindsay Stidham","Andrew Dickler, Ben York Jones, Marguerite Moreau, Nicole Vicius","On the verge of getting married, Sam Nussbaum insists he escort his younger brother, Tom, on a wild goose chase of a journey to find Tom's fifth grade girlfriend.",English,USA,Nomination,56.0,6.2,145,0,18117.0,Paladin,13.0,small,0
27,Night Catches Us,2010,R,90,Drama,Tanya Hamilton,Tanya Hamilton,"Anthony Mackie, Jamara Griffin, Sadiq Afif, Shango Rich","In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.",English,USA,Other Win,65.0,6.2,1403,1,75343.0,Magnolia Picutres,1.0,small,1
29,Welcome to the Rileys,2010,R,110,Drama,Jake Scott,Ken Hixon,"James Gandolfini, Kristen Stewart, Melissa Leo, Joe Chrest","On a business trip to New Orleans, a damaged man seeks salvation by caring for a wayward young woman.",English,"UK, USA",Other Win,50.0,7.0,22565,1,152857.0,Samuel Goldwyn Films/Destination Films,1.0,small,0
30,Drones,2013,Not Rated,82,Thriller,Rick Rosenthal,Matt Witten,"Matt O'Leary, Eloise Mumford, Whip Hubley, William Russ","Two Airmen are tasked with deciding the fate of a terrorist with a single push of a button. As the action plays out in real time, their window to use a deadly military drone on the target ...",English,USA,,47.0,4.4,728,1,0.0,Phase 4 Films,18.0,small,0
31,Sympathy for Delicious,2010,R,96,Drama,Mark Ruffalo,Christopher Thornton,"Christopher Thornton, Mark Ruffalo, Juliette Lewis, Laura Linney",A newly paralyzed DJ gets more than he bargained for when he seeks out the world of faith healing.,English,USA,Other Win,44.0,5.8,1754,1,13114.0,Maya Entertainment,2.0,small,0
32,Jack Goes Boating,2010,R,89,Drama,Philip Seymour Hoffman,"Robert Glaudini (screenplay), Robert Glaudini (play)","Philip Seymour Hoffman, John Ortiz, Richard Petrocelli, Tom McCarthy","A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples.",English,USA,Other Win,64.0,6.4,7763,1,300000.0,Fox Searchlight,26.0,small,1
33,Cyrus,2010,R,91,Comedy,"Jay Duplass, Mark Duplass","Mark Duplass, Jay Duplass","John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener","John and Molly, a divorced middle aged man and a single mother meet at a friends party and start up a small relationship, all John has to do now is meet Molly's son... Cyrus",English,USA,Nomination,74.0,6.3,33002,1,7455447.0,Fox Searchlight,26.0,small,1
35,YellowBrickRoad,2010,R,98,Horror,"Jesse Holland, Andy Mitton","Jesse Holland, Andy Mitton","Michael Laurino, Anessa Ramsey, Alex Draper, Cassidy Freeman","1940: the entire population of Friar, New Hampshire walked up a winding mountain trail, leaving everything behind. 2008: the first official expedition into the wilderness attempts to solve the mystery of the lost citizens of Friar.",English,USA,Other Win,52.0,4.7,5521,1,0.0,Bloody Disgusting/The Collective,1.0,small,0
38,The Killer Inside Me,2010,R,109,Crime,Michael Winterbottom,"John Curran, Jim Thompson (novel)","Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty",A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,English,"UK, Sweden, Canada, USA",Other Win,53.0,6.1,32207,1,200000.0,IFC Films,127.0,big,0
39,Dear John,2010,PG-13,108,Drama,Lasse Hallström,"Jamie Linden (screenplay), Nicholas Sparks (novel)","Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,English,USA,Other Win,43.0,6.3,132050,1,79600000.0,Screen Gems/SONY PICTURES,3.0,small,0
40,The Runaways,2010,R,106,Biography,Floria Sigismondi,"Floria Sigismondi (screenplay), Cherie Currie (book)","Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve",A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,English,USA,Nomination,65.0,6.5,44509,1,3600000.0,Apparition,1.0,small,1
41,Blue Valentine,2010,R,112,Drama,Derek Cianfrance,"Derek Cianfrance, Joey Curtis, Cami Delavigne","Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",English,USA,Oscar Win,81.0,7.4,174706,1,9600000.0,Weinstein Company,2.0,small,1
42,High School,2010,R,99,Comedy,John Stalberg Jr.,"Erik Linthorst (screenplay), John Stalberg Jr. (screenplay), Stephen Susco (screenplay), John Stalberg Jr. (story), Erik Linthorst (story)","Adrien Brody, Sean Marquette, Matt Bush, Colin Hanks","A high school valedictorian who gets baked with the local stoner finds himself the subject of a drug test. The situation causes him to concoct an ambitious plan to get his entire graduating class to face the same fate, and fail.",English,USA,,31.0,5.8,7100,1,100000.0,Anchor Bay Entertainment,18.0,small,0
43,The Taqwacores,2010,Not Rated,83,Drama,Eyad Zahra,"Michael Muhammad Knight (screenplay), Michael Muhammad Knight (story), Eyad Zahra (screenplay)","Bobby Naderi, Noureen DeWulf, Dominic Rains, Maytha Alhassen","Yusef, a first-generation Pakistani engineering student, moves off-campus with a group of Muslim punks in Buffalo, New York. His new ""un-orthodox"" house mates soon introduce him to ...",English,USA,Other Win,42.0,6.0,517,1,11175.0,Strand Releasing,13.0,small,0
44,3 Backyards,2010,R,88,Drama,Eric Mendelsohn,Eric Mendelsohn,"Elias Koteas, Kathryn Erbe, Edie Falco, Rachel Resheff",The story of three people from the same suburban town during the course of one curious autumn day.,English,USA,Other Win,69.0,5.0,614,1,0.0,Screen Media Ventures,8.0,small,1
45,The Dry Land,2010,R,92,Drama,Ryan Piers Williams,Ryan Piers Williams,"Ryan O'Nan, America Ferrera, Jason Ritter, Melissa Leo",A U.S. soldier returning home from war struggles to reconcile his experiences abroad with the life and family he left in Texas.,"English, Spanish",USA,Other Win,47.0,5.6,457,1,7351.0,Freestyle Releasing,23.0,small,0
46,Frozen,2013,PG,102,Animation,"Chris Buck, Jennifer Lee","Jennifer Lee (screenplay by), Hans Christian Andersen (story inspired by: ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","English, Norwegian",USA,Oscar Win,74.0,7.5,540929,1,400736600.0,Walt Disney Pictures,68.0,big,1
47,The Romantics,2010,PG-13,95,Comedy,Galt Niederhoffer,"Galt Niederhoffer (novel), Galt Niederhoffer","Katie Holmes, Josh Duhamel, Anna Paquin, Malin Akerman",Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,English,USA,,43.0,5.1,11244,1,100000.0,Benaroya Pictures,1.0,small,0
48,Lovers of Hate,2010,Not Rated,93,Comedy,Bryan Poyser,Bryan Poyser (screenplay),"Chris Doubek, Heather Kafka, Alex Karpovsky, Zach Green",A dark comedy which follows two brothers who are in love with the same woman.,English,USA,Nomination,72.0,6.4,146,0,0.0,IFC Films,127.0,big,1
49,The Freebie,2010,R,78,Comedy,Katie Aselton,Katie Aselton,"Katie Aselton, Dax Shepard, Maggie Phillips, Joshua Leonard","A young couple decides to give each other a night off, no questions asked.",English,USA,,54.0,5.1,1548,1,4500.0,Phase 4,1.0,small,0
50,The Kids Are All Right,2010,R,106,Comedy,Lisa Cholodenko,"Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,English,USA,Oscar Win,86.0,7.0,122109,1,20803237.0,Focus Features,61.0,big,1
51,Holy Rollers,2010,R,89,Biography,Kevin Asch,Antonio Macia,"Jesse Eisenberg, Justin Bartha, Ari Graynor, Danny A. Abeckaser","In Brooklyn, a youth from an Orthodox Jewish community is lured into becoming an Ecstasy dealer by his pal who has ties to an Israeli drug cartel.","English, Hebrew",USA,Other Win,51.0,5.9,4727,1,302886.0,First Independent Pictures,1.0,small,0
52,As Good as Dead,2010,R,100,Crime,Jonathan Mossek,"Erez Mossek (screenplay), Eve Pomerance (screenplay)","Andie MacDowell, Cary Elwes, Frank Whaley, Matt Dallas","Seeking revenge for the murder of their religious leader, fundamental loyalists kidnap and torture the man they believe responsible, but the ensuing clash of right vs. left ideologies ...",English,USA,,34.0,5.2,1456,0,0.0,,,small,0
53,Skateland,2010,PG-13,96,Drama,Anthony Burns,"Anthony Burns, Brandon Freeman, Heath Freeman","Shiloh Fernandez, Ashley Greene, Heath Freeman, Brett Cullen","In the early 1980s, in small-town Texas, dramatic events force a 19-year-old skating rink manager to look at his life in a very new way.",English,USA,Nomination,51.0,5.7,2076,1,13612.0,Freestyle Releasing,23.0,small,0
54,The Extra Man,2010,R,108,Comedy,"Shari Springer Berman, Robert Pulcini","Robert Pulcini (screenplay), Jonathan Ames (screenplay), Shari Springer Berman (screenplay), Jonathan Ames (novel)","Paul Dano, Marian Seldes, Celia Weston, Patti D'Arbanville",A man who escorts wealthy widows in New York's Upper East Side takes a young aspiring playwright under his wing.,English,"France, USA",,56.0,5.8,4643,1,453079.0,Magnolia Pictures,59.0,big,0
59,The Wolfman,2010,R,103,Drama,Joe Johnston,"Andrew Kevin Walker (screenplay), David Self (screenplay), Curt Siodmak","Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro","Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.","English, Romany, Romanian, Ukrainian",USA,Oscar Win,43.0,5.8,99569,1,61937495.0,Universal Pictures,123.0,big,0
60,Edge of Darkness,2010,R,117,Crime,Martin Campbell,"William Monahan (screenplay), Andrew Bovell (screenplay), Troy Kennedy-Martin (television series)","Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic","As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover-up and government collusion that attracts an agent tasked with cleaning up the evidence.","Latin, French, English","UK, USA",Nomination,55.0,6.6,86520,1,43290977.0,Warner Bros. Pictures,138.0,big,0
61,When in Rome,2010,PG-13,91,Comedy,Mark Steven Johnson,"David Diamond, David Weissman","Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.","English, Italian, Ukrainian",USA,Nomination,25.0,5.6,58252,1,32578915.0,Walt Disney Pictures,68.0,big,0
65,Twelve,2010,R,93,Action,Joel Schumacher,"Jordan Melamed (screenplay), Nick McDonell (novel)","Chace Crawford, Rory Culkin, Philip Ettinger, Esti Ginzburg","A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",English,"USA, France",Nomination,22.0,5.7,11648,1,181591.0,Hannover House,2.0,small,0
72,The Killing Jar,2010,R,92,Crime,Mark Young,Mark Young,"Amber Benson, Kevin Gage, Lew Temple, Danny Trejo","A stranger armed with a shotgun takes seven patrons hostage in a remote roadside diner. But as the body count increases, the desperate survivors discover that one of the hostages may be even more dangerous than their captor.",English,USA,,14.0,5.8,2440,1,0.0,Image Entertianment,1.0,small,0
74,The Perfect Host,2010,R,93,Comedy,Nick Tomnay,"Nick Tomnay, Krishna Jones","David Hyde Pierce, Clayne Crawford, Tyrees Allen, Cooper Barnes",An on-the-run convict looking for temporary cover finds it at the house of a very colorful character.,English,USA,Other Win,48.0,6.8,23830,1,48289.0,Magnolia Pictures,59.0,big,0
76,The Imperialists Are Still Alive!,2010,Not Rated,90,Drama,Zeina Durra,Zeina Durra,"Élodie Bouchez, José María de Tavira, Karim Saleh, Karolina Muller","Juggling the sudden abduction of her childhood sweetheart as well as a blooming love affair, a French Manhattanite makes her way as an artist in an indifferent, sometimes hostile world.",English,USA,Other Win,63.0,6.0,206,0,2832.0,IFC Films,127.0,big,1
82,Cost of a Soul,2010,R,107,Crime,Sean Kirkpatrick,Sean Kirkpatrick,"Chris Kerson, Will Blagrove, Mark Borkowski, Judy Jerome",A gritty tale of two veterans who return home from Iraq to the war-zone of their own slum neighborhood. Their lives collide as their own families become entangled in a web of crime and corruption.,English,USA,,30.0,5.8,138,1,25365.0,Relativity Media/Rogue,1.0,small,0
86,Valentine's Day,2010,PG-13,125,Comedy,Garry Marshall,"Katherine Fugate (screenplay), Katherine Fugate (story), Abby Kohn (story), Marc Silverstein (story)","Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,"English, Spanish, Russian, Italian",USA,Other Win,34.0,5.7,108785,1,110500000.0,New Line Cinema/Warner Bros. Pictures,1.0,small,0
93,Waiting for Forever,2010,PG-13,95,Comedy,James Keach,Steve Adams,"Rachel Bilson, Tom Sturridge, Richard Jenkins, Blythe Danner","A Hollywood-set romantic tale of a guy who is content to live his life without a job yet with the love of his life, a young actress.",English,USA,Other Win,26.0,6.0,19352,1,16291.0,Freestyle Releasing,23.0,small,0
94,My Name Is Khan,2010,PG-13,165,Drama,Karan Johar,"Shibani Bathija (story and screenplay), Shibani Bathija (dialogue), Niranjan Iyengar (dialogue)","Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,"Hindi, Urdu, English","India, USA, United Arab Emirates",Other Win,50.0,8.0,92724,1,3931456.0,Fox Searchlight,26.0,small,0
99,Shutter Island,2010,R,138,Mystery,Martin Scorsese,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","English, German",USA,Other Win,63.0,8.1,1045727,1,125001000.0,Paramount Studios,14.0,small,1
101,Greenberg,2010,R,107,Comedy,Noah Baumbach,"Jennifer Jason Leigh (story), Noah Baumbach (story), Noah Baumbach (screenplay)","Greta Gerwig, Koby Rouviere, Sydney Rouviere, Chris Messina","A man from Los Angeles, who moved to New York years ago, returns to L.A. to figure out his life while he house-sits for his brother. He soon sparks with his brother's assistant.",English,USA,Other Win,76.0,6.1,34528,1,2293918.0,Focus Features,61.0,big,1
103,Centurion,2010,R,97,Action,Neil Marshall,Neil Marshall,"Michael Fassbender, Andreas Wisniewski, Dave Legeno, Axelle Carolyn",A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is devastated in a guerrilla attack.,"English, Scottish Gaelic","UK, France, USA",Nomination,62.0,6.4,75383,1,122288.0,Magnolia Pictures,59.0,big,1
104,Father of Invention,2010,PG-13,93,Comedy,Trent Cooper,"Jonathan D. Krane, Trent Cooper","Kevin Spacey, Camilla Belle, Heather Graham, Johnny Knoxville","After 8 years in prison, inventor Robert Axle struggles to win over his estranged family and catch up on current technology as he works to once again become the king of the infomercial.",English,USA,,36.0,5.8,8034,1,0.0,Anchor Bay Films,13.0,small,0
110,Putty Hill,2010,Not Rated,85,Drama,Matthew Porterfield,"Jordan Mintzer (story), Matthew Porterfield (story), Matthew Porterfield","Sky Ferreira, Cody Ray, Dustin Ray, James Siebor Jr.",A young man's untimely death unites a fractured family and their community through shared memory and loss.,English,USA,Other Win,78.0,5.9,645,1,48644.0,Cinema Guild,4.0,small,1
112,Blood Done Sign My Name,2010,PG-13,128,Drama,Jeb Stuart,"Jeb Stuart, Tim Tyson (book)","Michael Rooker, Natalie Alyn Lind, Emily Alyn Lind, Ricky Schroder","A drama based on a true story, in which a black Vietnam-era veteran is allegedly murdered by a local white businessman, who is later exonerated. The plot focuses on the role of a local high school teacher, and the civil unrest that followed the acquittal.",English,USA,Other Win,49.0,6.6,495,1,82739.0,Paladin,13.0,small,0
113,Cop Out,2010,R,107,Action,Kevin Smith,"Robb Cullen, Mark Cullen","Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez","Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.","English, Spanish",USA,Nomination,31.0,5.6,82774,1,44047293.0,Warner Bros. Pictures,138.0,big,0
115,The Crazies,2010,R,101,Horror,Breck Eisner,"Scott Kosar (screenplay), Ray Wright (screenplay), George A. Romero","Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker","After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",English,"USA, United Arab Emirates",Nomination,55.0,6.5,106461,1,38240768.0,Overture Films,3.0,small,0
118,Alice in Wonderland,2010,PG,108,Adventure,Tim Burton,"Linda Woolverton (screenplay), Lewis Carroll (books)","Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",English,USA,Oscar Win,53.0,6.4,367385,1,319323000.0,Walt Disney Pictures,68.0,big,0
119,Green Zone,2010,R,115,Action,Paul Greengrass,"Brian Helgeland, Rajiv Chandrasekaran (book)","Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi",Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,"English, Arabic","UK, France, Spain, USA",Nomination,63.0,6.8,124694,1,35000000.0,Universal Pictures,123.0,big,1
122,Gabi on the Roof in July,2010,Not Rated,101,Comedy,Lawrence Michael Levine,"Kate Kirtz, Lawrence Michael Levine","Sophia Takal, Lawrence Michael Levine, Brooke Bloom, Louis Cancelmi","An ambitious painter on the verge of a big break confronts his moral decay when his idealist, hell-raising, younger sister comes to stay with him in New York City for the summer.",English,USA,Other Win,58.0,6.0,279,0,0.0,FilmBuff,9.0,small,0
125,Remember Me,2010,PG-13,113,Drama,Allen Coulter,Will Fetters,"Caitlyn Rund, Moisés Acevedo, Noel Rodriguez, Kevin P. McCarthy","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.","English, Chinese",USA,Other Win,40.0,7.1,131617,1,18242661.0,Summit Entertainment,33.0,big,0
130,The Myth of the American Sleepover,2010,Not Rated,96,Comedy,David Robert Mitchell,David Robert Mitchell,"Claire Sloma, Marlon Morton, Amanda Bauer, Brett Jacobsen",Four young people navigate the suburban wonderland of metro-Detroit looking for love and adventure on the last weekend of summer.,English,USA,Other Win,67.0,6.3,3458,1,39001.0,IFC Films,127.0,big,1
131,She's Out of My League,2010,R,104,Comedy,Jim Field Smith,"Sean Anders, John Morris","Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","English, Ukrainian",USA,Nomination,46.0,6.4,120003,1,28712974.0,Paramount,4.0,small,0
132,The Bounty Hunter,2010,PG-13,110,Action,Andy Tennant,Sarah Thorp,"Gerard Butler, Jennifer Aniston, Gio Perez, Joel Marsh Garland","A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.","English, Ukrainian",USA,Other Win,22.0,5.6,115998,1,66700000.0,Sony Pictures,90.0,big,0
133,Kick-Ass,2010,R,117,Action,Matthew Vaughn,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)","Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",English,"UK, USA",Other Win,66.0,7.6,507917,1,20000000.0,Lionsgate,58.0,big,1
135,Our Family Wedding,2010,PG-13,103,Comedy,Rick Famuyiwa,"Wayne Conley (story), Wayne Conley (screenplay), Malcolm Spellman (screenplay), Rick Famuyiwa (screenplay)","Forest Whitaker, America Ferrera, Carlos Mencia, Regina King","The weeks leading up to a young couple's wedding are comic and stressful, especially as their respective fathers try to lay their long standing feud to rest.",English,USA,Nomination,38.0,5.0,6523,1,18602225.0,Fox Searchlight,26.0,small,0
137,Some Days Are Better Than Others,2010,Not Rated,93,Drama,Matt McCormick,"Matt McCormick, George Andrus","Carrie Brownstein, James Mercer, David Wodehouse, Renee Roman Nose","Some Days are Better Than Others is Matt McCormick's poetic, character-driven debut feature-length film that asks why the good times slip by so fast while the difficult times seem so sticky.",English,USA,Nomination,53.0,5.9,206,1,0.0,Palisades Tartan,1.0,small,0
142,Barry Munday,2010,R,95,Comedy,Chris D'Arienzo,"Chris D'Arienzo (screenplay), Frank Turner Hollon (book)","Patrick Wilson, Judy Greer, Chloë Sevigny, Jean Smart","Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",English,USA,Nomination,28.0,5.9,3861,1,0.0,Magnolia Pictures,59.0,big,0
143,13,2010,R,91,Crime,Géla Babluani,"Géla Babluani (screenplay), Greg Pruss (screenplay), Géla Babluani (screenplay ""13 Tzameti"")","Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham","A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",English,USA,Other Win,29.0,6.1,39121,1,0.0,Anchor Bay,2.0,small,0
147,Cold Weather,2010,Not Rated,96,Comedy,Aaron Katz,"Aaron Katz (story), Brendan McFadden (story), Ben Stambler (story), Aaron Katz","Cris Lankenau, Trieste Kelly Dunn, Raúl Castillo, Robyn Rikoon","A guy who moves back to Portland, Oregon becomes involved in the mystery of his ex-girlfriend's disappearance.",English,USA,Nomination,64.0,6.2,2119,1,141358.0,IFC Films,127.0,big,1
